"";"Acquisition.Channel";"Store.Listing.Visitors";"Installers";"Installers.retained.for.1.day";"Installer-to-15.days.retention.rate";"pred"
"6";1;368;48;40;0,667;0,650045394897461
"14";1;309;44;37;0,773;0,709700465202332
"27";1;450;65;52;0,677;0,616089940071106
"28";2;57;15;14;0,933;0,913608372211456
"33";4;1345;340;309;0,85;0,827274262905121
"38";1;407;51;42;0,706;0,694970786571503
"45";4;785;155;131;0,755;0,800341010093689
"48";4;1323;327;298;0,832;0,827274262905121
"51";4;1265;316;281;0,842;0,827274262905121
"52";3;51;12;11;0,833;0,651681661605835
"55";4;1180;314;269;0,796;0,827274262905121
"59";1;279;37;30;0,73;0,733456075191498
"60";2;104;29;25;0,828;0,753227889537811
"74";2;76;21;21;0,905;0,858579039573669
"75";4;1548;317;279;0,82;0,827274262905121
"77";1;285;41;34;0,683;0,72324275970459
"79";4;1417;282;248;0,823;0,771025478839874
"81";1;264;38;29;0,684;0,733456075191498
"92";2;74;14;12;0,643;0,80909538269043
"99";4;1982;387;341;0,796;0,827274262905121
"113";1;123;20;18;0,9;0,745037436485291
"114";4;1525;390;358;0,869;0,827274262905121
"117";2;54;11;11;0,818;0,913935899734497
"119";3;442;8;7;0,875;0,748245358467102
"120";1;276;33;30;0,758;0,733456075191498
"123";1;206;23;16;0,565;0,526980817317963
"127";2;64;13;11;0,769;0,777194023132324
"142";1;405;46;40;0,783;0,694970786571503
"148";4;1055;196;160;0,719;0,786051273345947
"158";2;75;11;11;0,909;0,913935899734497
"163";4;1489;379;340;0,852;0,827274262905121
"165";1;310;46;38;0,587;0,721619844436646
"166";2;68;10;10;0,9;0,947155117988586
"168";3;577;9;6;0,667;0,529123246669769
"183";3;696;9;8;0,889;0,671281039714813
"184";1;2415;199;142;0,543;0,536800980567932
"188";1;1454;126;91;0,548;0,519166767597198
"208";2;122;17;16;0,941;0,763787090778351
"209";4;2062;450;404;0,847;0,833678305149078
"216";2;103;13;11;0,769;0,838847994804382
"219";1;5591;439;305;0,476;0,526250541210175
"224";2;67;10;10;0,8;0,947155117988586
"225";4;1196;191;171;0,817;0,759620785713196
"226";3;250;7;5;0,429;0,554400563240051
"228";2;67;12;11;0,833;0,842178702354431
"234";3;399;7;5;0,714;0,494549334049225
"237";4;1564;394;343;0,812;0,827274262905121
"240";2;79;14;12;0,714;0,80909538269043
"243";1;3238;294;208;0,507;0,512380719184875
"261";3;503;7;5;0,714;0,652305781841278
"275";3;644;7;5;0,714;0,501290261745453
"276";1;1642;161;107;0,497;0,519166767597198
"278";4;1609;209;181;0,804;0,775436997413635
"281";2;85;10;10;1;0,933093905448914
"283";3;458;12;11;0,917;0,761465668678284
"284";1;2764;239;159;0,49;0,518384277820587
"289";2;95;18;13;0,722;0,680376946926117
"292";1;2824;232;162;0,509;0,518384277820587
"295";3;428;12;8;0,583;0,549133062362671
"299";3;296;10;8;0,7;0,515021800994873
"301";2;77;9;8;0,889;0,843130230903625
"308";1;1102;115;76;0,557;0,538418292999268
"311";3;207;15;8;0,4;0,42460224032402
