"kwic.text...tolower.neutral_review...1....keyword...neutral_most_used.j...";"word"
"dificuldade do app reconhecer a";"app"
"atraso do app para envio";"app"
"processo o app trava nas";"app"
"referência o app do nubank.";"app"
"abrir o app novamente) 2.";"app"
"baixar 2 app para ter";"app"
"solicitada o app ficou lento";"app"
"desenvolvedores do app têm capacidade";"app"
"versão do app do banco";"app"
"usar o app lá vem";"app"
"e pelo app nao batem.";"app"
"fazer pelo app agora quando";"app"
"dias o app tem apresentado";"app"
"comparado ao app do banco";"app"
"banco. no app do meu";"app"
"uso o app do pc,";"app"
"encerra o app antes da";"app"
"inspirar no app do banco";"app"
"que o app deveria ter";"app"
"olhada no app do banco";"app"
"atualização o app está muito";"app"
"usar outro aplicativo para isso,";"aplicativo"
"melhorar. o aplicativo do bb";"aplicativo"
"sem uso. aplicativo bb no";"aplicativo"
"uso o aplicativo há muito";"aplicativo"
"tela do aplicativo logado ele";"aplicativo"
"acho o aplicativo muito bom,";"aplicativo"
"atualização, o aplicativo da crash";"aplicativo"
"neste último aplicativo a baixei...";"aplicativo"
"vezes o aplicativo não abre";"aplicativo"
"que um aplicativo desse não";"aplicativo"
"noite o aplicativo não funciona";"aplicativo"
"desinstalo o aplicativo é reinstalo";"aplicativo"
"cartões. o aplicativo trava e";"aplicativo"
"com o aplicativo tem de";"aplicativo"
"mensagem seu aplicativo falhou fechar.";"aplicativo"
"dentro do aplicativo tendo que";"aplicativo"
"digital. seria bom aprender com";"bom"
"aplicativo de bom uso.pratico e";"bom"
"mas está lento para entrar";"lento"
"app ficou lento e travando.";"lento"
"pior, muito lento e travando.";"lento"
"melhor. anda lento e brigado.";"lento"
"está muito lento para iniciar";"lento"
"anda muito lento para pagamentos,";"lento"
"está muito lento ultimamente e";"lento"
"está ficando lento a plataforma";"lento"
"esta muuto lento para logar";"lento"
"3. não consigo usar o";"consigo"
"extrato ñ consigo ver faz";"consigo"
"vezes não consigo q o";"consigo"
"mas não consigo utilizar mais";"consigo"
"sozinho,e não consigo ver os";"consigo"
"exemplo, não consigo agendar pagamento";"consigo"
"não consegui fazer uma transferência";"fazer"
"pq nao fazer uma tela";"fazer"
"insegura de fazer pelo app";"fazer"
"quando tento fazer depósito de";"fazer"
"para conseguir fazer uma transação.";"fazer"
"consegui mais fazer depósito em";"fazer"
"cliques para fazer o q";"fazer"
"que posso fazer no site,";"fazer"
"loga para fazer uma transferência";"fazer"
"nem consegue fazer uma ação";"fazer"
"pra conseguir fazer um depósito";"fazer"
"hora de fazer login ele";"fazer"
"quando tento fazer qualquer operação.";"fazer"
"não pode ser feita com";"ser"
"me parece ser fraude. já";"ser"
"comprovantes deveria ser mais detalhado";"ser"
"cliente, deveria ser simplificado e";"ser"
"isso precisa ser incluído. continuo";"ser"
"qual vai ser feita, não";"ser"
"por não ser direto.seria mais";"ser"
"obrigatórias podem ser avisadas previamente,";"ser"
"longe de ser atual... outros";"ser"
"tem de ser fotógrafo profissional.";"ser"
"o serviço ser algo nativo";"ser"
"por 2 vezes e ele";"vezes"
"todas às vezes tem que";"vezes"
"necessárias. muitas vezes tento usar";"vezes"
"por muitas vezes tenho dificuldade";"vezes"
"e as vezes nem abre";"vezes"
"lento, muitas vezes da erro";"vezes"
"travando. às vezes não consigo";"vezes"
"50% das vezes em que";"vezes"
"menos as vezes vc nem";"vezes"
"demora muito pra entrar fica";"pra"
"funciona e pra excluir contas";"pra"
"uns dias pra cá ele";"pra"
"ele demora pra abrir e";"pra"
"mais opções pra emitir comprovante";"pra"
"essa turma pra trabalhar e";"pra"
"10 dias pra cá passou";"pra"
"nas transferências pra outros bancos,";"pra"
"de tela pra digitar a";"pra"
"pior bco pra jovem cada";"pra"
"gastos do cartão de crédito,";"cartão"
"gastos de cartão de crédito";"cartão"
"gastos do cartão de crédito";"cartão"
"com o cartão de crédito";"cartão"
"pontos do cartão não funciona.";"cartão"
"recompensas do cartão pelo aplicativo.";"cartão"
"pontos do cartão neste último";"cartão"
"para o cartão de crédito";"cartão"
"lançamentos do cartão de credito,";"cartão"
"entradas do cartão de crédito.";"cartão"
"extrado do cartão de crédito.";"cartão"
